Handle,Title,Description(HTML),Description(text),OriginalPrice,DiscountedPrice,ProductURL,Image Src,Image Position
ORIENT 東方之星 Contemporary Retrograde系列 复古风男士機械手錶RK-DE0303S,ORIENT 東方之星 Contemporary Retrograde系列 复古风男士機械手錶RK-DE0303S,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：星<br/>
</div>
<div>型號：RK-DE0303S <br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯編號：40A52 <br/>
</div>
<div>驅動系統：機械式<br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材料（工作台）：球形藍寶石晶體（AR塗層）<br/>
</div>
<div>玻璃材料（背面）：無機玻璃<br/>
</div>
<div>錶帶材質：皮革<br/>
</div>
<div>帶寬20毫米<br/>
</div>
<div>重量：93克<br/>
</div>
<div>日常生活防水防水（10 atm）<br/>
</div>
<div>防磁類型1 <br/>
</div>
<div>產品功能<br/>
</div>
<div>自動上弦（手動上弦）<br/>
</div>
<div>逆行顯示功能<br/>
</div>
<div>電量顯示功能<br/>
</div>
<div>帶秒停裝置<br/>
</div>
<div>透明後蓋<br/>
</div>
<div>22寶石<br/>
</div>
</div>",產品規格品牌：東方系列：星型號：RK-DE0303S機芯：機械自動機芯編號：40A52驅動系統：機械式錶殼材質：不銹鋼玻璃材料（工作台）：球形藍寶石晶體（AR塗層）玻璃材料（背面）：無機玻璃錶帶材質：皮革帶寬20毫米重量：93克日常生活防水防水（10 atm）防磁類型1產品功能自動上弦（手動上弦）逆行顯示功能電量顯示功能帶秒停裝置透明後蓋22寶石,"HK$7,425.00","HK$5,570.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9627,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3603b05b800019dd44d/2000x.jpg,1
ORIENT 東方之星 Contemporary Retrograde系列 复古风男士機械手錶RK-DE0303S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3633b05b800019dd455/2000x.jpg,2
ORIENT 東方之星 Contemporary Retrograde系列 复古风男士機械手錶RK-DE0303S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3663b05b800019dd460/2000x.jpg,3
ORIENT 東方之星 Contemporary Retrograde系列 复古风男士機械手錶RK-DE0303S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3683b05b800019dd46e/2000x.jpg,4
Orient東方 200米潛水系列自動機械手錶 RA-EL0003B,Orient東方 200米潛水系列自動機械手錶 RA-EL0003B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：不銹鋼</div>
<div>吊耳寬度：22毫米</div>
<div>風格：潛水員，運動</div>
<div>錶盤顏色：黑色</div>
<div>手錶形狀：圓形</div>
<div>顯示：模擬</div>
<div>錶殼材質：銀，水晶，藍寶石，不銹鋼</div>
<div>機芯：機械（自動）</div>
<div>功能：藍寶石水晶，日期指示器，防水，動力儲存指示器，12小時刻度盤</div>
<div>錶帶顏色：銀色</div>
<div>錶殼的大小：43毫米</div>
<div>類型：手錶</div>
<div>底蓋：堅固</div>
<div>帶寬：22毫米</div>
<div>防水深度：200 m（20 ATM）</div>
<div>錶殼顏色：黑色，銀色</div>
</div>",產品規格錶帶材質：不銹鋼吊耳寬度：22毫米風格：潛水員，運動錶盤顏色：黑色手錶形狀：圓形顯示：模擬錶殼材質：銀，水晶，藍寶石，不銹鋼機芯：機械（自動）功能：藍寶石水晶，日期指示器，防水，動力儲存指示器，12小時刻度盤錶帶顏色：銀色錶殼的大小：43毫米類型：手錶底蓋：堅固帶寬：22毫米防水深度：200 m（20 ATM）錶殼顏色：黑色，銀色,"HK$5,180.00","HK$3,100.00",https://www.citiwide-online.com/products/601b7631c924490001208505,https://shoplineimg.com/5d02035403a5360001dbbef8/601b7632ccc1e300013307ca/2000x.jpg,1
Orient東方 200米潛水系列自動機械手錶 RA-EL0003B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/601b7634ccc1e300013307d2/2000x.jpg,2
Orient東方 200米潛水系列自動機械手錶 RA-EL0003B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/601b7635ccc1e300013307d7/2000x.jpg,3
Orient東方 200米潛水系列自動機械手錶 RA-EL0003B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/601b7636ccc1e300013307d8/2000x.jpg,4
Orient東方 Classic RN-AG0019S 機械手錶男士,Orient東方 Classic RN-AG0019S 機械手錶男士,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：皮革<br/>
</div>
<div>風格：經典<br/>
</div>
<div>錶盤顏色：白色<br/>
</div>
<div>手錶形狀：圓形<br/>
</div>
<div>顯示：模擬<br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>機芯：機械（自動）<br/>
</div>
<div>特點：自動上鍊，12小時撥號盤<br/>
</div>
<div>錶帶顏色：黑色<br/>
</div>
<div>錶殼的大小：43毫米<br/>
</div>
<div>類型：手錶<br/>
</div>
</div>",產品規格錶帶材質：皮革風格：經典錶盤顏色：白色手錶形狀：圓形顯示：模擬錶殼材料：不銹鋼機芯：機械（自動）特點：自動上鍊，12小時撥號盤錶帶顏色：黑色錶殼的大小：43毫米類型：手錶,"HK$2,890.00","HK$2,170.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b962e,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3613b05b800019dd44f/2000x.jpg,1
Orient東方 Classic RN-AG0019S 機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3633b05b800019dd454/2000x.jpg,2
Orient東方 Classic RN-AG0019S 機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3643b05b800019dd45b/2000x.jpg,3
Orient東方 Classic RN-AG0019S 機械手錶男士,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3663b05b800019dd461/2000x.jpg,4
Orient Sport 系列自動機械手錶 RN-AC0L03B,Orient Sport 系列自動機械手錶 RN-AC0L03B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：體育<br/>
</div>
<div>型號：RN-AC0L03B <br/>
</div>
<div>發行日期：2020年10月8日<br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯號：F6727 <br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材質：藍寶石玻璃（增透膜）<br/>
</div>
<div>錶帶材質：矽<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>尺寸：52mm x 47.3mm x 13.2mm H xW x T <br/>
</div>
<div>重量：132克<br/>
</div>
<div><br/></div>
<div>產品功能<br/>
</div>
<div>200m空中潛水防水<br/>
</div>
<div>平均每日差異+25秒到-15秒<br/>
</div>
<div>行駛時間：約40小時或更長時間<br/>
</div>
<div>日期顯示<br/>
</div>
<div>二手止動裝置<br/>
</div>
<div>防逆轉擋板<br/>
</div>
<div>擰回<br/>
</div>
<div>夜光（針/索引）<br/>
</div>
<div>日本製造<br/>
</div>
</div>",產品規格品牌：東方系列：體育型號：RN-AC0L03B發行日期：2020年10月8日機芯：機械自動機芯號：F6727錶殼材質：不銹鋼玻璃材質：藍寶石玻璃（增透膜）錶帶材質：矽帶寬：20毫米尺寸：52mm x 47.3mm x 13.2mm H xW x T重量：132克產品功能200m空中潛水防水平均每日差異+25秒到-15秒行駛時間：約40小時或更長時間日期顯示二手止動裝置防逆轉擋板擰回夜光（針/索引）日本製造,"HK$6,798.00","HK$3,850.00",https://www.citiwide-online.com/products/5fd9d181b6227e0001a4e89c,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1821feeab000160b67e/2000x.jpg,1
Orient Sport 系列自動機械手錶 RN-AC0L03B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1831feeab000160b683/2000x.jpg,2
Orient Sport 系列自動機械手錶 RN-AC0L03B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fd9d1841feeab000160b68a/2000x.jpg,3
ORIENT STAR 東方之星自動机械男士手錶 运动型系列 RK-AU0207L,ORIENT STAR 東方之星自動机械男士手錶 运动型系列 RK-AU0207L,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：東方之星<br/>
</div>
<div>性別：男士<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>機芯：F6N43 <br/>
</div>
<div>錶殼材料：不銹鋼，硬塗層<br/>
</div>
<div>錶殼形狀：圓形<br/>
</div>
<div>錶殼尺寸：41 <br/>
</div>
<div>錶殼厚度：12.1 <br/>
</div>
<div>撥號類型：模擬<br/>
</div>
<div>錶盤顏色：藍色<br/>
</div>
<div>錶帶材質：面料<br/>
</div>
<div>錶帶顏色：藍色，黑色<br/>
</div>
<div>耐水性：100m <br/>
</div>
<div>玻璃：藍寶石，防反射塗層<br/>
</div>
<div>功能：發光指針，防磁，日期，動力儲備指示器<br/>
</div>
</div>",產品規格品牌：東方系列：東方之星性別：男士機芯：自動機芯：F6N43錶殼材料：不銹鋼，硬塗層錶殼形狀：圓形錶殼尺寸：41錶殼厚度：12.1撥號類型：模擬錶盤顏色：藍色錶帶材質：面料錶帶顏色：藍色，黑色耐水性：100m玻璃：藍寶石，防反射塗層功能：發光指針，防磁，日期，動力儲備指示器,"HK$6,435.00","HK$4,830.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b961e,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3613b05b800019dd450/2000x.jpg,1
ORIENT STAR 東方之星自動机械男士手錶 运动型系列 RK-AU0207L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3633b05b800019dd457/2000x.jpg,2
ORIENT STAR 東方之星自動机械男士手錶 运动型系列 RK-AU0207L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3663b05b800019dd45f/2000x.jpg,3
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0003R19B,東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0003R19B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>詳細介紹<br/></p>
<div>機芯：日本F6922機芯<br/>
</div>
<div><br/></div>
<div>錶殼尺寸：直徑41.8mm<br/>
</div>
<div>鏡面材質：藍寶石抗磨損鏡面<br/>
</div>
<div>錶面顏色：紅色<br/>
</div>
<div>錶殼材質：精鋼材質<br/>
</div>
<div>錶帶材質：精鋼材質<br/>
</div>
<div>防水：20 ATM<br/>
</div>
<div>配件：附原廠錶盒，原廠保證書<br/>
</div>
</div>",詳細介紹機芯：日本F6922機芯錶殼尺寸：直徑41.8mm鏡面材質：藍寶石抗磨損鏡面錶面顏色：紅色錶殼材質：精鋼材質錶帶材質：精鋼材質防水：20 ATM配件：附原廠錶盒，原廠保證書,"HK$3,850.00","HK$1,990.00",https://www.citiwide-online.com/products/605c06c94c8ec40001b14110,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cb6619860001d45ad9/2000x.jpg,1
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0003R19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cd6619860001d45ada/2000x.jpg,2
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0003R19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cf6619860001d45add/2000x.jpg,3
東方錶 - Orient Mako III Water Resistant 系列 潛水錶 RA-AA0003R19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06d06619860001d45aea/2000x.jpg,4
